ID,Type,Label,Title,Text
REC_11,Recital,Recital (11),,"(11) Les articles 101 et 102 du traité sur le fonctionnement de l’Union européenne et les règles de concurrence nationales correspondantes relatives aux comportements anticoncurrentiels multilatéraux et unilatéraux ainsi que le contrôle des concentrations ont pour objectif la protection d’une concurrence non faussée sur le marché. Le présent règlement poursuit un objectif complémentaire, mais différent de la protection d’une concurrence non faussée sur tout marché, au sens du droit de la concurrence, qui est de veiller à ce que les marchés sur lesquels les contrôleurs d’accès opèrent sont et restent contestables et équitables, indépendamment des effets réels, éventuels ou présumés sur la concurrence sur un marché donné du comportement d’un contrôleur d’accès couvert par ce règlement. Le présent règlement vise par conséquent à protéger un intérêt juridique différent de celui qui est protégé par lesdites règles et il devrait s’appliquer sans préjudice de leur application."
REC_12,Recital,Recital (12),,"(12) Le présent règlement devrait également s’appliquer sans préjudice des règles qui découlent d’autres actes du droit de l’Union régissant certains aspects de la fourniture de services couverts par le présent règlement, en particulier les règlements (UE) 2016/679 ( 4 ) et (UE) 2019/1150 ( 5 ) du Parlement européen et du Conseil et le règlement relatif à un marché intérieur des services numériques, les directives 2002/58/CE ( 6 ) , 2005/29/CE ( 7 ) , 2010/13/UE ( 8 ) , (UE) 2015/2366 ( 9 ) , (UE) 2019/790 ( 10 ) et (UE) 2019/882 ( 11 ) du Parlement européen et du Conseil et la directive 93/13/CEE du Conseil ( 12 ) , ainsi que les règles nationales visant à mettre en œuvre ou à transposer ces actes juridiques de l’Union."
REC_13,Recital,Recital (13),,"(13) La faible contestabilité et les pratiques déloyales dans le secteur numérique sont plus fréquentes et prononcées pour certains services numériques que pour d’autres. C’est le cas en particulier pour les services numériques répandus et couramment utilisés, qui servent, pour la plupart, d’intermédiaires directs entre les entreprises utilisatrices et les utilisateurs finaux, et qui se caractérisent principalement par des économies d’échelle extrêmes, des effets de réseau très importants, la capacité de relier de nombreuses entreprises utilisatrices avec de nombreux utilisateurs finaux grâce au caractère multiface de ces services, des effets de verrouillage, l’absence de multihébergement ou l’intégration verticale. Il n’existe souvent qu’une seule grande entreprise ou très peu de grandes entreprises fournissant ces services numériques. Le plus souvent, ces entreprises sont devenues des contrôleurs d’accès pour les entreprises utilisatrices et les utilisateurs finaux, avec de profondes répercussions. En particulier, elles ont acquis la capacité de fixer facilement des conditions générales commerciales de manière unilatérale et préjudiciable pour leurs entreprises utilisatrices et utilisateurs finaux. Par conséquent, il est nécessaire de se concentrer uniquement sur les services numériques les plus largement utilisés par les entreprises utilisatrices et les utilisateurs finaux et pour lesquels les préoccupations relatives à la faible contestabilité et aux pratiques déloyales des contrôleurs d’accès sont plus apparentes et urgentes du point de vue du marché intérieur."
REC_14,Recital,Recital (14),,"(14) En particulier, les services d’intermédiation en ligne, les moteurs de recherche en ligne, les systèmes d’exploitation, les réseaux sociaux en ligne, les services de plateformes de partage de vidéos, les services de communications interpersonnelles non fondés sur la numérotation, les services d’informatique en nuage, les assistants virtuels, les navigateurs internet et les services de publicité en ligne, y compris les services d’intermédiation publicitaire, sont tous capables de toucher un grand nombre d’utilisateurs finaux comme d’entreprises, ce qui comporte un risque de pratiques commerciales déloyales. Ils devraient donc être inclus dans la définition des services de plateforme essentiels et relever du champ d’application du présent règlement. Les services d’intermédiation en ligne peuvent également opérer dans le domaine des services financiers, et ils peuvent agir en tant qu’intermédiaires ou être utilisés pour fournir des services tels que ceux énumérés de manière non exhaustive à l’annexe II de la directive (UE) 2015/1535 du Parlement européen et du Conseil ( 13 ) . Aux fins du présent règlement, la définition des services de plateforme essentiels devrait être neutre sur le plan technologique et devrait s’entendre comme englobant ceux qui sont proposés par différents moyens ou sur différents dispositifs, tels que la télévision connectée ou les services numériques embarqués dans les véhicules. Dans certaines circonstances, la notion d’utilisateurs finaux devrait inclure les utilisateurs qui sont habituellement considérés comme des entreprises utilisatrices, mais qui, dans une situation donnée, n’utilisent pas les services de plateforme essentiels dans le but de fournir des biens ou des services à d’autres utilisateurs finaux, telles que, à titre d’exemple, les entreprises qui dépendent des services d’informatique en nuage pour leurs propres besoins."
REC_15,Recital,Recital (15),,"(15) Qu’un service numérique puisse être qualifié de service de plateforme essentiel ne suscite pas en soi de préoccupations suffisamment sérieuses en matière de contestabilité ou de pratiques déloyales. De telles préoccupations apparaissent seulement lorsqu’un service de plateforme essentiel constitue un point d’accès majeur et est exploité par une entreprise ayant un poids important sur le marché intérieur et jouissant d’une position solide et durable, ou par une entreprise susceptible de jouir d’une telle position dans un avenir proche. En conséquence, l’ensemble ciblé de règles harmonisées prévues dans le présent règlement ne devrait s’appliquer qu’aux entreprises désignées sur la base de ces trois critères objectifs, et ne devrait s’appliquer qu’aux services de plateforme essentiels qui représentent, individuellement, un point d’accès majeur permettant aux entreprises utilisatrices d’atteindre les utilisateurs finaux. Le fait qu’une entreprise fournissant des services de plateforme essentiels puisse jouer un rôle d’intermédiaire non seulement entre les entreprises utilisatrices et les utilisateurs finaux, mais aussi entre utilisateurs finaux, par exemple dans le cas de services de communications interpersonnelles non fondés sur la numérotation, ne devrait pas empêcher de conclure qu’une telle entreprise constitue ou pourrait constituer un point d’accès majeur permettant aux entreprises utilisatrices d’atteindre des utilisateurs finaux."
REC_16,Recital,Recital (16),,"(16) Dans le but de garantir l’application effective du présent règlement aux entreprises fournissant des services de plateforme essentiels qui sont les plus susceptibles de remplir ces critères objectifs, et pour lesquels les pratiques déloyales affaiblissant la contestabilité sont les plus fréquentes et ont le plus de répercussions, la Commission devrait être en mesure de désigner directement comme contrôleurs d’accès les entreprises fournissant des services de plateforme essentiels qui répondent à certains seuils quantitatifs. Ces entreprises devraient en tout état de cause faire l’objet d’un processus de désignation rapide qui devrait commencer dès que le présent règlement devient applicable."
REC_17,Recital,Recital (17),,"(17) Le fait qu’une entreprise ait un chiffre d’affaires très élevé dans l’Union et fournisse un service de plateforme essentiel dans au moins trois États membres constitue un indice probant indiquant que cette entreprise a un impact significatif sur le marché intérieur. Il en va de même lorsqu’une entreprise fournissant un service de plateforme essentiel dans au moins trois États membres a une capitalisation boursière très importante ou une juste valeur marchande équivalente. Par conséquent, il convient que l’entreprise fournissant un service de plateforme essentiel soit présumée avoir un poids important sur le marché intérieur lorsqu’elle fournit ce service dans au moins trois États membres et lorsque soit le chiffre d’affaires de son groupe réalisé dans l’Union est égal ou supérieur à un seuil élevé spécifique, soit la capitalisation boursière de son groupe est égale ou supérieure à une valeur absolue élevée déterminée. En ce qui concerne les entreprises fournissant des services de plateforme essentiels appartenant à des entreprises qui ne sont pas cotées en Bourse, il convient de se référer à la juste valeur marchande équivalente. Il devrait être possible pour la Commission d’utiliser son pouvoir d’adopter des actes délégués afin de mettre au point une méthode objective pour calculer cette valeur. Un chiffre d’affaires élevé du groupe, réalisé dans l’Union, associé au nombre seuil d’utilisateurs de services de plateforme essentiels dans l’Union témoigne d’une capacité relativement forte de monétiser ces utilisateurs. Une capitalisation boursière élevée par rapport au même nombre seuil d’utilisateurs dans l’Union traduit un potentiel relativement important de monétisation de ces utilisateurs dans un avenir proche. Ce potentiel de monétisation marque à son tour, en principe, la position de point d’accès des entreprises concernées. Ces deux indicateurs reflètent en outre la capacité financière des entreprises concernées, y compris leur faculté de tirer profit de leur accès aux marchés financiers dans le but de renforcer leur position. Cela peut notamment être le cas lorsque cet accès supérieur est utilisé pour acquérir d’autres entreprises, cette capacité s’étant à son tour avérée avoir des répercussions néfastes potentielles sur l’innovation. La capitalisation boursière peut également refléter la position future attendue et les effets sur le marché intérieur des entreprises concernées, en dépit d’un chiffre d’affaires actuel potentiellement relativement faible. La valeur de la capitalisation boursière devrait reposer sur un niveau qui représente la capitalisation boursière moyenne des plus grandes entreprises cotées en Bourse de l’Union sur une période appropriée."
REC_18,Recital,Recital (18),,"(18) Alors qu’une capitalisation boursière égale ou supérieure au seuil au cours de l’exercice précédent devrait donner lieu à une présomption selon laquelle une entreprise fournissant des services de plateforme essentiels a un poids important sur le marché intérieur, une capitalisation boursière durable de l’entreprise fournissant des services de plateforme essentiels égale ou supérieure au seuil pendant trois ans ou plus devrait renforcer encore cette présomption."
REC_19,Recital,Recital (19),,"(19) En revanche, un certain nombre de facteurs relatifs à la capitalisation boursière pourraient nécessiter une évaluation approfondie pour déterminer s’il faut considérer qu’une entreprise fournissant des services de plateforme essentiels a un impact significatif sur le marché intérieur. Cela pourrait être le cas lorsque la capitalisation boursière de l’entreprise fournissant des services de plateforme essentiels au cours des exercices précédents était considérablement inférieure au seuil et que la volatilité de sa capitalisation boursière sur la période étudiée était disproportionnée par rapport à la volatilité globale du marché des actions, ou que sa trajectoire de capitalisation boursière par rapport aux tendances du marché était incompatible avec une croissance rapide et unidirectionnelle."
REC_20,Recital,Recital (20),,"(20) Disposer d’un nombre très important d’entreprises utilisatrices qui dépendent d’un service de plateforme essentiel pour atteindre un très grand nombre d’utilisateurs finaux actifs chaque mois permet à l’entreprise fournissant ce service d’exercer à son avantage une influence sur les activités d’une large part des entreprises utilisatrices et révèle, en principe, que cette entreprise est un point d’accès majeur. Il convient de fixer les niveaux respectifs pertinents de ces chiffres de manière à représenter un pourcentage substantiel de la population totale de l’Union en ce qui concerne les utilisateurs finaux et de la population totale des entreprises utilisant des services de plateforme essentiels pour déterminer le seuil relatif aux entreprises utilisatrices. Les utilisateurs finaux actifs et les entreprises utilisatrices actives devraient faire l’objet d’une identification et d’un calcul qui permettent de représenter correctement le rôle et la portée du service de plateforme essentiel spécifique en question. Afin d’apporter une sécurité juridique aux contrôleurs d’accès, les éléments permettant de déterminer le nombre d’utilisateurs finaux actifs et d’entreprises utilisatrices actives par service de plateforme essentiel devraient être énoncés dans une annexe du présent règlement. Les évolutions technologiques et autres peuvent avoir une influence sur ces éléments. Il convient dès lors d’habiliter la Commission à adopter des actes délégués pour modifier le présent règlement en actualisant la méthodologie et la liste d’indicateurs utilisés afin de déterminer le nombre d’utilisateurs finaux actifs et d’entreprises utilisatrices actives."
REC_21,Recital,Recital (21),,(21) Une entreprise bénéficie ou bénéficiera probablement dans le futur d’une position solide et durable dans ses activités notamment lorsque la contestabilité de la position de l’entreprise fournissant le service de plateforme essentiel est limitée. Tel est probablement le cas si cette entreprise a fourni un service de plateforme essentiel dans au moins trois États membres à un très grand nombre d’entreprises utilisatrices et d’utilisateurs finaux pendant une période d’au moins trois ans.
REC_22,Recital,Recital (22),,"(22) Les évolutions du marché et de la technologie peuvent influer sur de tels seuils. La Commission devrait donc être habilitée à adopter des actes délégués visant à préciser la méthode utilisée pour déterminer si les seuils quantitatifs sont atteints, et à l’adapter régulièrement aux évolutions du marché et de la technologie, le cas échéant. Ces actes délégués ne devraient pas modifier les seuils quantitatifs fixés dans le présent règlement."
REC_23,Recital,Recital (23),,"(23) Une entreprise fournissant des services de plateforme essentiels devrait pouvoir, dans des circonstances exceptionnelles, renverser la présomption selon laquelle elle a un poids important sur le marché intérieur en démontrant que, même si elle atteint les seuils quantitatifs fixés dans le présent règlement, elle ne remplit pas les exigences nécessaires pour être désignée comme contrôleur d’accès. La charge de la preuve que la présomption découlant du respect de seuils quantitatifs ne devrait pas s’appliquer incombe à cette entreprise. La Commission ne devrait prendre en considération, dans son évaluation des preuves et des arguments présentés, que les éléments directement liés aux critères quantitatifs, à savoir le poids de l’entreprise fournissant des services de plateforme essentiels sur le marché intérieur, au-delà des recettes ou de la capitalisation boursière, par exemple sa taille en termes absolus ainsi que le nombre d’États membres dans lesquels elle est présente; la mesure dans laquelle le nombre d’entreprises utilisatrices et d’utilisateurs finaux réels dépasse les seuils ainsi que l’importance du service de plateforme essentiel de l’entreprise, compte tenu de l’échelle globale des activités du service de plateforme essentiel concerné; et le nombre d’années pendant lesquelles les seuils ont été atteints. Toute justification reposant sur des motifs économiques, en rapport avec la définition du marché ou visant à démontrer des gains d’efficience découlant d’un type particulier de comportement de l’entreprise fournissant des services de plateforme essentiels, devrait être rejetée, car elle n’est pas pertinente pour la désignation d’un contrôleur d’accès. Si les arguments présentés ne sont pas suffisamment étayés et ne remettent manifestement pas en cause la présomption, la Commission devrait pouvoir les rejeter dans le délai de 45 jours ouvrables prévu pour la désignation. La Commission devrait être en mesure de prendre une décision en se fondant sur les informations disponibles en ce qui concerne les seuils quantitatifs lorsque l’entreprise fournissant les services de plateforme essentiels entrave l’enquête de manière significative en ne se conformant pas aux mesures d’enquête prises par la Commission."
REC_24,Recital,Recital (24),,"(24) Il convient également de prévoir l’évaluation du rôle de contrôleur d’accès que jouent les entreprises fournissant des services de plateforme essentiels qui n’atteignent pas tous les seuils quantitatifs, à la lumière des exigences objectives globales selon lesquelles elles ont un poids important sur le marché intérieur, servent de points d’accès majeurs permettant aux entreprises utilisatrices d’atteindre les utilisateurs finaux et bénéficient d’une position solide et durable dans leurs activités, ou sont susceptibles d’en bénéficier dans un avenir proche. Lorsque l’entreprise qui fournit des services de plateforme essentiels est une moyenne, une petite ou une microentreprise, l’évaluation devrait soigneusement examiner si une telle entreprise serait en mesure de compromettre substantiellement la contestabilité des services de plateforme essentiels, étant donné que le présent règlement vise principalement les grandes entreprises disposant d’un pouvoir économique considérable plutôt que les moyennes, les petites ou les microentreprises."
REC_25,Recital,Recital (25),,"(25) Une telle évaluation ne peut être effectuée qu’à la lumière d’une enquête de marché, tout en tenant compte des seuils quantitatifs. Dans son évaluation, la Commission devrait prendre en compte les objectifs consistant à préserver et à promouvoir l’innovation et la qualité des produits et services numériques ainsi que l’équité et la compétitivité des prix, et veiller à ce que les niveaux de qualité et de choix offerts aux entreprises utilisatrices et aux utilisateurs finaux soient ou restent élevés. Des éléments spécifiques aux entreprises fournissant des services de plateforme essentiels concernées peuvent être pris en considération, tels que des économies d’échelle ou de gamme extrêmes, des effets de réseau très importants, des avantages fondés sur les données, leur capacité de relier de nombreuses entreprises utilisatrices avec de nombreux utilisateurs finaux grâce à leur caractère multiface, les effets de verrouillage, l’absence de multihébergement, une structure d’entreprise conglomérale ou l’intégration verticale. En outre, une capitalisation boursière très importante, un ratio de valeur de fonds propres par rapport au bénéfice très élevé ou un chiffre d’affaires très important tiré des utilisateurs finaux d’un seul service de plateforme essentiel peuvent être utilisés comme indicateurs du potentiel d’utilisation d’un effet de levier par ces entreprises et du basculement du marché en leur faveur. Avec la capitalisation boursière, les taux de croissance relatifs élevés sont des exemples de paramètres dynamiques particulièrement pertinents pour identifier les entreprises fournissant des services de plateforme essentiels dont on peut prévoir qu’elles acquerront une position solide et durable. La Commission devrait être en mesure de prendre une décision en tirant des conclusions défavorables à partir des données disponibles lorsque l’entreprise fournissant des services de plateforme essentiels entrave l’enquête de manière significative en refusant de se conformer aux mesures d’enquête prises par la Commission."
REC_26,Recital,Recital (26),,"(26) Un sous-ensemble de règles particulier devrait s’appliquer aux entreprises fournissant des services de plateforme essentiels dont on peut prévoir qu’elles bénéficieront d’une position solide et durable dans un avenir proche. Les mêmes caractéristiques spécifiques des services de plateforme essentiels les rendent susceptibles de basculer: dès qu’une entreprise fournissant le service de plateforme essentiel a obtenu un certain avantage par rapport à ses concurrentes ou à des concurrentes potentielles en termes de taille ou de pouvoir d’intermédiation, sa position pourrait devenir inattaquable et évoluer au point de devenir solide et durable dans un avenir proche. Les entreprises peuvent tenter de provoquer ce basculement et devenir des contrôleurs d’accès en recourant à certaines des conditions et pratiques déloyales régies par le présent règlement. Il semble adéquat d’intervenir dans une telle situation, avant que le marché ne bascule de manière irréversible."
REC_27,Recital,Recital (27),,"(27) Cependant, une telle intervention précoce devrait se limiter à imposer uniquement les obligations nécessaires et appropriées pour veiller à ce que les services concernés restent contestables et permettre que le risque qualifié de conditions et pratiques déloyales soit évité. Les obligations empêchant l’entreprise fournissant des services de plateforme essentiels concernée de bénéficier d’une position solide et durable dans ses activités, telles que les obligations visant à empêcher l’utilisation d’un effet de levier et celles facilitant le changement de plateforme et le multihébergement, visent plus directement cet objectif. Dans le but de garantir la proportionnalité, la Commission devrait également appliquer, parmi ce sous-ensemble d’obligations, uniquement celles qui sont nécessaires et proportionnées pour atteindre les objectifs du présent règlement, et devrait régulièrement réexaminer ces obligations afin de déterminer si elles doivent être maintenues, supprimées ou adaptées."
REC_28,Recital,Recital (28),,"(28) Appliquer uniquement les obligations qui sont nécessaires et proportionnées pour atteindre les objectifs du présent règlement devrait permettre à la Commission d’intervenir efficacement et en temps opportun, tout en respectant pleinement la proportionnalité des mesures envisagées. Cela devrait en outre rassurer les acteurs actuels ou potentiels du marché quant à la contestabilité et à l’équité des services visés."
REC_29,Recital,Recital (29),,"(29) Les contrôleurs d’accès devraient respecter les obligations énoncées dans le présent règlement en ce qui concerne chacun des services de plateforme essentiels énumérés dans la décision de désignation correspondante. Le cas échéant, les obligations devraient s’appliquer tout en tenant compte de la situation de conglomérat des contrôleurs d’accès. En outre, la Commission devrait pouvoir, par voie de décision, imposer des mesures d’exécution au contrôleur d’accès. Ces mesures d’exécution devraient être conçues efficacement, eu égard aux caractéristiques des services de plateforme essentiels ainsi qu’aux risques éventuels de contournement, et dans le respect du principe de proportionnalité et des droits fondamentaux des entreprises visées et des tiers."
REC_30,Recital,Recital (30),,"(30) La nature technologique complexe et en très rapide évolution des services de plateforme essentiels nécessite un réexamen régulier du statut des contrôleurs d’accès, y compris ceux dont on peut prévoir qu’ils bénéficieront, dans un avenir proche, d’une position solide et durable dans leurs activités. Afin de fournir à tous les acteurs du marché, y compris les contrôleurs d’accès, la sécurité requise en ce qui concerne les obligations juridiques applicables, il convient de fixer un délai pour ces réexamens réguliers. Il importe également de mener ces réexamens à intervalles réguliers et au moins tous les trois ans. En outre, il importe de préciser que tout changement des éléments de fait sur la base desquels une entreprise fournissant des services de plateforme essentiels a été désignée comme contrôleur d’accès ne devrait pas nécessiter que la décision de désignation soit modifiée. Une modification ne sera nécessaire que si le changement des éléments de fait entraîne également une modification de l’évaluation. Pour décider s’il en va ainsi ou pas, il convient de se fonder sur une évaluation au cas par cas des faits et circonstances."
REC_31,Recital,Recital (31),,"(31) Pour préserver la contestabilité et l’équité des services de plateforme essentiels fournis par les contrôleurs d’accès, il est important de prévoir de manière claire et non équivoque un ensemble de règles harmonisées relatives à ces services. De telles règles sont nécessaires face au risque que représentent les effets néfastes des pratiques des contrôleurs d’accès, et sont bénéfiques pour l’environnement commercial des services concernés, les utilisateurs et, en fin de compte, la société dans son ensemble. Les obligations correspondent aux pratiques qui sont considérées comme compromettant la contestabilité ou comme déloyales, ou les deux, compte tenu des caractéristiques du secteur numérique, et qui ont une incidence directe particulièrement négative sur les entreprises utilisatrices et les utilisateurs finaux. Les obligations énoncées dans le présent règlement devraient pouvoir prendre spécifiquement en considération la nature des services de plateforme essentiels fournis. Les obligations prévues par le présent règlement devraient non seulement garantir la contestabilité et l’équité en ce qui concerne les services de plateforme essentiels énumérés dans la décision de désignation, mais aussi en ce qui concerne d’autres produits et services numériques grâce auxquels les contrôleurs d’accès tirent parti de leur position de point d’accès et qui sont souvent fournis en accompagnement ou à l’appui des services de plateforme essentiels."
REC_32,Recital,Recital (32),,"(32) Aux fins du présent règlement, la contestabilité devrait se rapporter à la capacité des entreprises à surmonter efficacement les barrières à l’entrée et à l’expansion, et à faire concurrence au contrôleur d’accès sur la base des mérites de leurs produits et services. Les caractéristiques des services de plateforme essentiels dans le secteur numérique, telles que les effets de réseau, les importantes économies d’échelle et les avantages tirés des données, limitent la contestabilité de ces services et des écosystèmes connexes. Cette faible contestabilité réduit les incitations à innover et à améliorer les produits et services pour le contrôleur d’accès, ses entreprises utilisatrices, ses concurrents et ses clients, et a donc une incidence négative sur le potentiel d’innovation de l’économie des plateformes en ligne au sens large. La contestabilité des services dans le secteur numérique peut également être limitée s’il y a plus d’un contrôleur d’accès pour un service de plateforme essentiel. Le présent règlement devrait donc interdire certaines pratiques des contrôleurs d’accès qui sont susceptibles de renforcer les barrières à l’entrée ou à l’expansion, et imposer aux contrôleurs d’accès certaines obligations qui tendent à abaisser ces barrières. Les obligations devraient également porter sur les situations dans lesquelles la position du contrôleur d’accès peut être tellement solide que la concurrence interplateformes n’est pas effective à court terme, ce qui signifie que la concurrence interplateformes doit être créée ou renforcée."
